priority_rank,section,entry_type,entry_id,sport,competition,event,market_family,market_selection,line_or_alternatives,pricing_tier,odds_status,evidence_quality,confidence,thesis,counter_evidence,line_sensitivity,correlation_tags,optional_superbet_check_priority,why_useful_even_without_odds,what_odds_needed_only_for_price_stake_decision
73,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_029_football_heidelberg_united_vs_st_albans_saints_dinamo_2026_07_03t093000_0000_result,football,Australia - Victoria NPL,Heidelberg United vs ST Albans Saints Dinamo,result,Draw No Bet - Heidelberg United :: Heidelberg United,NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,Use `Draw No Bet - Heidelberg United` as a manual Superbet search path for Heidelberg United vs ST Albans Saints Dinamo; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,football_heidelberg_united_vs_st_albans_saints_dinamo_2026_07_03t093000_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
74,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_031_football_ir_reykjavik_vs_afturelding_2026_07_03t191500_0000_result,football,Iceland - 1 deild,IR Reykjavik vs Afturelding,result,Draw No Bet - IR Reykjavik :: IR Reykjavik,NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,Use `Draw No Bet - IR Reykjavik` as a manual Superbet search path for IR Reykjavik vs Afturelding; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,football_ir_reykjavik_vs_afturelding_2026_07_03t191500_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
75,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_037_football_japs_vs_akatemia_2026_07_03t153000_0000_result,football,Finland - Ykkosliiga,JaPS vs Akatemia,result,Draw No Bet - JaPS :: JaPS,NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,Use `Draw No Bet - JaPS` as a manual Superbet search path for JaPS vs Akatemia; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,football_japs_vs_akatemia_2026_07_03t153000_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
76,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_035_football_loudoun_united_fc_vs_sporting_jax_2026_07_03t233000_0000_result,football,"USA - USL, Championship",Loudoun United FC vs Sporting Jax,result,Draw No Bet - Loudoun United FC :: Loudoun United FC,NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,Use `Draw No Bet - Loudoun United FC` as a manual Superbet search path for Loudoun United FC vs Sporting Jax; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,football_loudoun_united_fc_vs_sporting_jax_2026_07_03t233000_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
77,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_027_football_nomme_united_vs_nomme_united_2026_07_03t160000_0000_result,football,Estonia - Premium Liiga,Nomme United vs Nomme United,result,Draw No Bet - Nomme United :: Nomme United,NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,Use `Draw No Bet - Nomme United` as a manual Superbet search path for Nomme United vs Nomme United; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,football_nomme_united_vs_nomme_united_2026_07_03t160000_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
78,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_015_football_shelbourne_vs_dundalk_2026_07_03t190000_0000_result,football,Ireland - Premier Division,Shelbourne vs Dundalk,result,Draw No Bet - Shelbourne :: Shelbourne,NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,Use `Draw No Bet - Shelbourne` as a manual Superbet search path for Shelbourne vs Dundalk; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,football_shelbourne_vs_dundalk_2026_07_03t190000_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
79,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_011_football_sirius_vs_mjallby_2026_07_03t170000_0000_result,football,Sweden - Allsvenskan,Sirius vs Mjallby,result,Draw No Bet - Sirius :: Sirius,NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,Use `Draw No Bet - Sirius` as a manual Superbet search path for Sirius vs Mjallby; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,football_sirius_vs_mjallby_2026_07_03t170000_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
80,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_005_football_sligo_rovers_vs_shamrock_2026_07_03t184500_0000_result,football,Ireland - Premier Division,Sligo Rovers vs Shamrock,result,Draw No Bet - Sligo Rovers :: Sligo Rovers,NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,Use `Draw No Bet - Sligo Rovers` as a manual Superbet search path for Sligo Rovers vs Shamrock; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,football_sligo_rovers_vs_shamrock_2026_07_03t184500_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
81,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_013_football_st_patrick_s_vs_galway_utd_2026_07_03t184500_0000_result,football,Ireland - Premier Division,St. Patrick´s vs Galway Utd,result,Draw No Bet - St. Patrick´s :: St. Patrick´s,NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,Use `Draw No Bet - St. Patrick´s` as a manual Superbet search path for St. Patrick´s vs Galway Utd; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,football_st_patrick_s_vs_galway_utd_2026_07_03t184500_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
82,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_021_football_wolves_vs_rochedale_2026_07_03t093000_0000_result,football,Australia - Queensland NPL,Wolves vs Rochedale,result,Draw No Bet - Wolves :: Wolves,NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,Use `Draw No Bet - Wolves` as a manual Superbet search path for Wolves vs Rochedale; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,football_wolves_vs_rochedale_2026_07_03t093000_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
83,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_007_football_yunnan_yukun_vs_henan_2026_07_03t120000_0000_result,football,China - Chinese Super League,Yunnan Yukun vs Henan,result,Draw No Bet - Yunnan Yukun :: Yunnan Yukun,NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,Use `Draw No Bet - Yunnan Yukun` as a manual Superbet search path for Yunnan Yukun vs Henan; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,football_yunnan_yukun_vs_henan_2026_07_03t120000_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
84,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_105_hockey_sydney_ice_dogs_vs_perth_thunder_2026_07_03t093000_0000_result,hockey,Australia - AIHL,Sydney Ice Dogs vs Perth Thunder,result,Match winner - Sydney Ice Dogs :: Sydney Ice Dogs,NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,Use `Match winner - Sydney Ice Dogs` as a manual Superbet search path for Sydney Ice Dogs vs Perth Thunder; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,hockey_sydney_ice_dogs_vs_perth_thunder_2026_07_03t093000_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
85,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_041_tennis_alexandrova_ekaterina_vs_jovic_iva_2026_07_03t113000_0000_result,tennis,"WTA - Wimbledon, London, Great Britain, Qualifying","Alexandrova, Ekaterina vs Jovic, Iva",result,"Match winner - Alexandrova, Ekaterina :: Alexandrova, Ekaterina",NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,"Use `Match winner - Alexandrova, Ekaterina` as a manual Superbet search path for Alexandrova, Ekaterina vs Jovic, Iva; promotion remains quote-review-only until the operator confirms the exact visible line and odds.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,tennis_alexandrova_ekaterina_vs_jovic_iva_2026_07_03t113000_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
86,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_045_tennis_bartunkova_nikola_vs_krejcikova_barbora_2026_07_03t131000_0000_result,tennis,"WTA - Wimbledon, London, Great Britain, Qualifying","Bartunkova, Nikola vs Krejcikova, Barbora",result,"Match winner - Bartunkova, Nikola :: Bartunkova, Nikola",NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,"Use `Match winner - Bartunkova, Nikola` as a manual Superbet search path for Bartunkova, Nikola vs Krejcikova, Barbora; promotion remains quote-review-only until the operator confirms the exact visible line and odds.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,tennis_bartunkova_nikola_vs_krejcikova_barbora_2026_07_03t131000_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
87,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_065_tennis_bencic_belinda_vs_kalinskaya_anna_2026_07_03t100000_0000_result,tennis,"WTA - Wimbledon, London, Great Britain, Qualifying","Bencic, Belinda vs Kalinskaya, Anna",result,"Match winner - Bencic, Belinda :: Bencic, Belinda",NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,"Use `Match winner - Bencic, Belinda` as a manual Superbet search path for Bencic, Belinda vs Kalinskaya, Anna; promotion remains quote-review-only until the operator confirms the exact visible line and odds.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,tennis_bencic_belinda_vs_kalinskaya_anna_2026_07_03t100000_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
88,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_051_tennis_davidovich_fokina_alejandro_vs_fucsovics_marton_2026_07_03t124000_0000_result,tennis,"ATP - Wimbledon, London, GB, Qualifying, 1st - 2nd Round","Davidovich Fokina, Alejandro vs Fucsovics, Marton",result,"Match winner - Davidovich Fokina, Alejandro :: Davidovich Fokina, Alejandro",NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,"Use `Match winner - Davidovich Fokina, Alejandro` as a manual Superbet search path for Davidovich Fokina, Alejandro vs Fucsovics, Marton; promotion remains quote-review-only until the operator confirms the exact visible line and odds.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,tennis_davidovich_fokina_alejandro_vs_fucsovics_marton_2026_07_03t124000_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
89,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_067_tennis_hurkacz_hubert_vs_paul_tommy_2026_07_03t125000_0000_result,tennis,"ATP - Wimbledon, London, GB, Qualifying, 1st - 2nd Round","Hurkacz, Hubert vs Paul, Tommy",result,"Match winner - Hurkacz, Hubert :: Hurkacz, Hubert",NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,"Use `Match winner - Hurkacz, Hubert` as a manual Superbet search path for Hurkacz, Hubert vs Paul, Tommy; promotion remains quote-review-only until the operator confirms the exact visible line and odds.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,tennis_hurkacz_hubert_vs_paul_tommy_2026_07_03t125000_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
90,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_049_tennis_jodar_rafael_vs_mochizuki_shintaro_2026_07_03t113000_0000_result,tennis,"ATP - Wimbledon, London, GB, Qualifying, 1st - 2nd Round","Jodar, Rafael vs Mochizuki, Shintaro",result,"Match winner - Jodar, Rafael :: Jodar, Rafael",NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,"Use `Match winner - Jodar, Rafael` as a manual Superbet search path for Jodar, Rafael vs Mochizuki, Shintaro; promotion remains quote-review-only until the operator confirms the exact visible line and odds.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,tennis_jodar_rafael_vs_mochizuki_shintaro_2026_07_03t113000_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
91,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_043_tennis_kasatkina_daria_vs_osaka_naomi_2026_07_03t120000_0000_result,tennis,"WTA - Wimbledon, London, Great Britain, Qualifying","Kasatkina, Daria vs Osaka, Naomi",result,"Match winner - Kasatkina, Daria :: Kasatkina, Daria",NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,"Use `Match winner - Kasatkina, Daria` as a manual Superbet search path for Kasatkina, Daria vs Osaka, Naomi; promotion remains quote-review-only until the operator confirms the exact visible line and odds.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,tennis_kasatkina_daria_vs_osaka_naomi_2026_07_03t120000_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
92,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_047_tennis_liu_claire_vs_gauff_coco_2026_07_03t145000_0000_result,tennis,"WTA - Wimbledon, London, Great Britain, Qualifying","Liu, Claire vs Gauff, Coco",result,"Match winner - Liu, Claire :: Liu, Claire",NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,"Use `Match winner - Liu, Claire` as a manual Superbet search path for Liu, Claire vs Gauff, Coco; promotion remains quote-review-only until the operator confirms the exact visible line and odds.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,tennis_liu_claire_vs_gauff_coco_2026_07_03t145000_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
93,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_057_tennis_muchova_karolina_vs_sawangkaew_mananchaya_2026_07_03t131000_0000_result,tennis,"WTA - Wimbledon, London, Great Britain, Qualifying","Muchova, Karolina vs Sawangkaew, Mananchaya",result,"Match winner - Muchova, Karolina :: Muchova, Karolina",NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,"Use `Match winner - Muchova, Karolina` as a manual Superbet search path for Muchova, Karolina vs Sawangkaew, Mananchaya; promotion remains quote-review-only until the operator confirms the exact visible line and odds.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,tennis_muchova_karolina_vs_sawangkaew_mananchaya_2026_07_03t131000_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
94,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_055_tennis_pegula_jessica_vs_bouzas_maneiro_jessica_2026_07_03t114000_0000_result,tennis,"WTA - Wimbledon, London, Great Britain, Qualifying","Pegula, Jessica vs Bouzas Maneiro, Jessica",result,"Match winner - Pegula, Jessica :: Pegula, Jessica",NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,"Use `Match winner - Pegula, Jessica` as a manual Superbet search path for Pegula, Jessica vs Bouzas Maneiro, Jessica; promotion remains quote-review-only until the operator confirms the exact visible line and odds.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,tennis_pegula_jessica_vs_bouzas_maneiro_jessica_2026_07_03t114000_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
95,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_063_tennis_rinderknech_arthur_vs_djokovic_novak_2026_07_03t123000_0000_result,tennis,"ATP - Wimbledon, London, GB, Qualifying, 1st - 2nd Round","Rinderknech, Arthur vs Djokovic, Novak",result,"Match winner - Rinderknech, Arthur :: Rinderknech, Arthur",NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,"Use `Match winner - Rinderknech, Arthur` as a manual Superbet search path for Rinderknech, Arthur vs Djokovic, Novak; promotion remains quote-review-only until the operator confirms the exact visible line and odds.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,tennis_rinderknech_arthur_vs_djokovic_novak_2026_07_03t123000_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
96,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_059_tennis_sabalenka_aryna_vs_ostapenko_jelena_2026_07_03t141000_0000_result,tennis,"WTA - Wimbledon, London, Great Britain, Qualifying","Sabalenka, Aryna vs Ostapenko, Jelena",result,"Match winner - Sabalenka, Aryna :: Sabalenka, Aryna",NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,"Use `Match winner - Sabalenka, Aryna` as a manual Superbet search path for Sabalenka, Aryna vs Ostapenko, Jelena; promotion remains quote-review-only until the operator confirms the exact visible line and odds.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,tennis_sabalenka_aryna_vs_ostapenko_jelena_2026_07_03t141000_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
97,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_039_tennis_safiullin_roman_vs_fonseca_joao_2026_07_03t100000_0000_result,tennis,"ATP - Wimbledon, London, GB, Qualifying, 1st - 2nd Round","Safiullin, Roman vs Fonseca, Joao",result,"Match winner - Safiullin, Roman :: Safiullin, Roman",NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,"Use `Match winner - Safiullin, Roman` as a manual Superbet search path for Safiullin, Roman vs Fonseca, Joao; promotion remains quote-review-only until the operator confirms the exact visible line and odds.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,tennis_safiullin_roman_vs_fonseca_joao_2026_07_03t100000_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
98,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_053_tennis_sinner_jannik_vs_brooksby_jenson_2026_07_03t131000_0000_result,tennis,"ATP - Wimbledon, London, GB, Qualifying, 1st - 2nd Round","Sinner, Jannik vs Brooksby, Jenson",result,"Match winner - Sinner, Jannik :: Sinner, Jannik",NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,"Use `Match winner - Sinner, Jannik` as a manual Superbet search path for Sinner, Jannik vs Brooksby, Jenson; promotion remains quote-review-only until the operator confirms the exact visible line and odds.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,tennis_sinner_jannik_vs_brooksby_jenson_2026_07_03t131000_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
99,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_061_tennis_struff_jan_lennard_vs_medvedev_daniil_2026_07_03t113000_0000_result,tennis,"ATP - Wimbledon, London, GB, Qualifying, 1st - 2nd Round","Struff, Jan-Lennard vs Medvedev, Daniil",result,"Match winner - Struff, Jan-Lennard :: Struff, Jan-Lennard",NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,"Use `Match winner - Struff, Jan-Lennard` as a manual Superbet search path for Struff, Jan-Lennard vs Medvedev, Daniil; promotion remains quote-review-only until the operator confirms the exact visible line and odds.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,tennis_struff_jan_lennard_vs_medvedev_daniil_2026_07_03t113000_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
100,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_099_valorant_fokus_vs_joblife_2026_07_03t150000_0000_result,valorant,EMEA: Stage 3,FOKUS vs Joblife,result,Match winner - FOKUS :: FOKUS,NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,Use `Match winner - FOKUS` as a manual Superbet search path for FOKUS vs Joblife; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,valorant_fokus_vs_joblife_2026_07_03t150000_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
